Make;Model;Type;Origin;Cost;HP;MPG2;MPG1;Wg
Honda; Civic LX 4dr;Sedan;Asia;15850;115;32;38;2513
Honda; Accord LX 2dr;Sedan;Asia;19860;160;26;34;2994
Honda; Accord EX 2dr;Sedan;Asia;22260;160;26;34;3047
Honda; Civic EX 4dr;Sedan;Asia;17750;127;32;37;2601
Honda; Civic Si 2dr hatch;Sedan;Asia;19490;160;26;30;2782
Honda; Accord LX V6 4dr;Sedan;Asia;23760;240;21;30;3349
Honda; Accord EX V6 2dr;Sedan;Asia;26960;240;21;30;3294
Honda; Odyssey LX;Sedan;Asia;24950;240;18;25;4310
Honda; Odyssey EX;Sedan;Asia;27450;240;18;25;4365
Honda; S2000 convertible 2dr;Sports;Asia;33260;240;20;25;2835
Hyundai; Santa Fe GLS;SUV;Asia;21589;173;20;26;3549
Hyundai; Accent 2dr hatch;Sedan;Asia;10539;103;29;33;2255
Hyundai; Accent GL 4dr;Sedan;Asia;11839;103;29;33;2290
Hyundai; Accent GT 2dr hatch;Sedan;Asia;11939;103;29;33;2339
Hyundai; Elantra GLS 4dr;Sedan;Asia;13839;138;26;34;2635
Hyundai; Elantra GT 4dr;Sedan;Asia;15389;138;26;34;2635
Hyundai; Elantra GT 4dr hatch;Sedan;Asia;15389;138;26;34;2698
Hyundai; Sonata GLS 4dr;Sedan;Asia;19339;170;19;27;3217
Hyundai; Sonata LX 4dr;Sedan;Asia;20339;170;19;27;3217
Hyundai; XG350 4dr;Sedan;Asia;24589;194;17;26;3651
Hyundai; XG350 L 4dr;Sedan;Asia;26189;194;17;26;3651
Hyundai; Tiburon GT V6 2dr;Sports;Asia;18739;172;19;26;3023
Infiniti; G35 4dr;Sedan;Asia;28495;260;18;26;3336
Infiniti; G35 Sport Coupe 2dr;Sedan;Asia;29795;280;18;26;3416
Infiniti; G35 4dr;Sedan;Asia;32445;260;18;26;3677
Infiniti; I35 4dr;Sedan;Asia;31145;255;19;26;3306
Infiniti; M45 4dr;Sedan;Asia;42845;340;17;23;3851
Infiniti; Q45 Luxury 4dr;Sedan;Asia;52545;340;17;23;3977
Infiniti; FX35;Wagon;Asia;34895;280;16;22;4056
Infiniti; FX45;Wagon;Asia;36395;315;15;19;4309
Isuzu; Ascender S;SUV;Asia;31849;275;15;20;4967
Isuzu; Rodeo S;SUV;Asia;20449;193;17;21;3836
Kia; Sorento LX;SUV;Asia;19635;192;16;19;4112
Kia; Optima LX 4dr;Sedan;Asia;16040;138;23;30;3281
Kia; Rio 4dr manual;Sedan;Asia;10280;104;26;33;2403
Kia; Rio 4dr auto;Sedan;Asia;11155;104;25;32;2458
Kia; Spectra 4dr;Sedan;Asia;12360;124;24;32;2661
Kia; Spectra GS 4dr hatch;Sedan;Asia;13580;124;24;32;2686
Kia; Spectra GSX 4dr hatch;Sedan;Asia;14630;124;24;32;2697
Kia; Optima LX V6 4dr;Sedan;Asia;18435;170;20;27;3279
Kia; Amanti 4dr;Sedan;Asia;26000;195;17;25;4021
Kia; Sedona LX;Sedan;Asia;20615;195;16;22;4802
Kia; Rio Cinco;Wagon;Asia;11905;104;26;33;2447
Lexus; GX 470;SUV;Asia;45700;235;15;19;4740
Lexus; LX 470;SUV;Asia;64800;235;13;17;5590
Lexus; RX 330;SUV;Asia;39195;230;18;24;4065
Lexus; ES 330 4dr;Sedan;Asia;32350;225;20;29;3460
Lexus; IS 300 4dr manual;Sedan;Asia;31045;215;18;25;3255
Lexus; IS 300 4dr auto;Sedan;Asia;32415;215;18;24;3285
Lexus; GS 300 4dr;Sedan;Asia;41010;220;18;25;3649
Lexus; GS 430 4dr;Sedan;Asia;48450;300;18;23;3715
Lexus; LS 430 4dr;Sedan;Asia;55750;290;18;25;3990
Lexus; SC 430 convertible 2dr;Sports;Asia;63200;300;18;23;3840
Lexus; IS 300 SportCross;Wagon;Asia;32455;215;18;24;3410
MINI; Cooper;Sedan;Europe;16999;115;28;37;2524
MINI; Cooper S;Sedan;Europe;19999;163;25;34;2678
Mazda; Tribute DX 2.0;SUV;Asia;21087;130;22;25;3091
Mazda; Mazda3 i 4dr;Sedan;Asia;15500;148;26;34;2696
Mazda; Mazda3 s 4dr;Sedan;Asia;17200;160;25;31;2762
Mazda; Mazda6 i 4dr;Sedan;Asia;19270;160;24;32;3042
Mazda; MPV ES;Sedan;Asia;28750;200;18;25;3812
Mazda; MX-5 Miata convertible 2dr;Sports;Asia;22388;142;23;28;2387
Mazda; MX-5 Miata LS convertible 2dr;Sports;Asia;25193;142;23;28;2387
Mazda; RX-8 4dr automatic;Sports;Asia;25700;197;18;25;3053
Mazda; RX-8 4dr manual;Sports;Asia;27200;238;18;24;3029
Mazda; B2300 SX Regular Cab;Truck;Asia;14840;143;24;29;2960
Mazda; B4000 SE Cab Plus;Truck;Asia;22350;207;15;19;3571
Mercedes-Benz; G500;SUV;Europe;76870;292;13;14;5423
Mercedes-Benz; ML500;SUV;Europe;46470;288;14;17;4874
Mercedes-Benz; C230 Sport 2dr;Sedan;Europe;26060;189;22;30;3250
Mercedes-Benz; C320 Sport 2dr;Sedan;Europe;28370;215;19;26;3430
Mercedes-Benz; C240 4dr;Sedan;Europe;32280;168;20;25;3360
Mercedes-Benz; C240 4dr;Sedan;Europe;33480;168;19;25;3360
Mercedes-Benz; C320 Sport 4dr;Sedan;Europe;35920;215;19;26;3430
Mercedes-Benz; C320 4dr;Sedan;Europe;37630;215;20;26;3450
Mercedes-Benz; C320 4dr;Sedan;Europe;38830;215;19;27;3450
Mercedes-Benz; C32 AMG 4dr;Sedan;Europe;52120;349;16;21;3540
Mercedes-Benz; CL500 2dr;Sedan;Europe;94820;302;16;24;4085
Mercedes-Benz; CL600 2dr;Sedan;Europe;128420;493;13;19;4473
Mercedes-Benz; CLK320 coupe 2dr (convertible);Sedan;Europe;45707;215;20;26;3770
Mercedes-Benz; CLK500 coupe 2dr (convertible);Sedan;Europe;52800;302;17;22;3585
Mercedes-Benz; E320 4dr;Sedan;Europe;48170;221;19;27;3635
Mercedes-Benz; E500 4dr;Sedan;Europe;57270;302;16;20;3815
Mercedes-Benz; S430 4dr;Sedan;Europe;74320;275;18;26;4160
Mercedes-Benz; S500 4dr;Sedan;Europe;86970;302;16;24;4390
Mercedes-Benz; SL500 convertible 2dr;Sports;Europe;90520;302;16;23;4065
Mercedes-Benz; SL55 AMG 2dr;Sports;Europe;121770;493;14;21;4235
Mercedes-Benz; SL600 convertible 2dr;Sports;Europe;126670;493;13;19;4429
Mercedes-Benz; SLK230 convertible 2dr;Sports;Europe;40320;192;21;29;3055
Mercedes-Benz; SLK32 AMG 2dr;Sports;Europe;56170;349;17;22;3220
Mercedes-Benz; C240;Wagon;Europe;33780;168;19;25;3470
Mercedes-Benz; E320;Wagon;Europe;50670;221;19;27;3966
Mercedes-Benz; E500;Wagon;Europe;60670;302;16;24;4230
Mitsubishi; Endeavor XLS;SUV;Asia;30492;215;17;21;4134
Mitsubishi; Montero XLS;SUV;Asia;33112;215;15;19;4718
Mitsubishi; Outlander LS;SUV;Asia;18892;160;21;27;3240
Mitsubishi; Lancer ES 4dr;Sedan;Asia;14622;120;25;31;2656
Mitsubishi; Lancer LS 4dr;Sedan;Asia;16722;120;25;31;2795
Mitsubishi; Galant ES 2.4L 4dr;Sedan;Asia;19312;160;23;30;3351
Mitsubishi; Lancer OZ Rally 4dr auto;Sedan;Asia;17232;120;25;31;2744
Mitsubishi; Diamante LS 4dr;Sedan;Asia;29282;205;18;25;3549
Mitsubishi; Galant GTS 4dr;Sedan;Asia;25700;230;18;26;3649
Mitsubishi; Eclipse GTS 2dr;Sports;Asia;25092;210;21;28;3241
Mitsubishi; Eclipse Spyder GT convertible 2dr;Sports;Asia;26992;210;21;28;3296
Mitsubishi; Lancer Evolution 4dr;Sports;Asia;29562;271;18;26;3263
Mitsubishi; Lancer Sportback LS;Wagon;Asia;17495;160;25;31;3020
Nissan; Pathfinder Armada SE;SUV;Asia;33840;305;13;19;5013
Nissan; Pathfinder SE;SUV;Asia;27339;240;16;21;3871
Nissan; Xterra XE V6;SUV;Asia;20939;180;17;20;3760
Nissan; Sentra 1.8 4dr;Sedan;Asia;12740;126;28;35;2513
Nissan; Sentra 1.8 S 4dr;Sedan;Asia;14740;126;28;35;2581
Nissan; Altima S 4dr;Sedan;Asia;19240;175;21;26;3039
Nissan; Sentra SE-R 4dr;Sedan;Asia;17640;165;23;28;2761
Nissan; Altima SE 4dr;Sedan;Asia;23290;245;21;26;3197
Nissan; Maxima SE 4dr;Sedan;Asia;27490;265;20;28;3473
Nissan; Maxima SL 4dr;Sedan;Asia;29440;265;20;28;3476
Nissan; Quest S;Sedan;Asia;24780;240;19;26;4012
Nissan; Quest SE;Sedan;Asia;32780;240;18;25;4175
Nissan; 350Z coupe 2dr;Sports;Asia;26910;287;20;26;3188
Nissan; 350Z Enthusiast convertible 2dr;Sports;Asia;34390;287;20;26;3428
Nissan; Frontier King Cab XE V6;Truck;Asia;19479;180;17;20;3932
Nissan; Titan King Cab XE;Truck;Asia;26650;305;14;18;5287
Nissan; Murano SL;Wagon;Asia;28739;245;20;25;3801
Saab; 9-3 Arc Sport 4dr;Sedan;Europe;30860;210;20;28;3175
Saab; 9-3 Aero 4dr;Sedan;Europe;33360;210;20;28;3175
Saab; 9-5 Arc 4dr;Sedan;Europe;35105;220;21;29;3470
Saab; 9-5 Aero 4dr;Sedan;Europe;39465;250;21;29;3470
Saab; 9-3 Arc convertible 2dr;Sedan;Europe;40670;210;21;29;3480
Saab; 9-3 Aero convertible 2dr;Sedan;Europe;43175;210;21;30;3700
Saab; 9-5 Aero;Wagon;Europe;40845;250;19;29;3620
Scion; xA 4dr hatch;Sedan;Asia;12965;108;32;38;2340
Scion; xB;Wagon;Asia;14165;108;31;35;2425
Subaru; Impreza 2.5 RS 4dr;Sedan;Asia;19945;165;22;28;2965
Subaru; Legacy L 4dr;Sedan;Asia;20445;165;21;28;3285
Subaru; Legacy GT 4dr;Sedan;Asia;25645;165;21;28;3395
Subaru; Outback Limited Sedan 4dr;Sedan;Asia;27145;165;20;27;3495
Subaru; Outback H6 4dr;Sedan;Asia;29345;212;19;26;3610
Subaru; Outback H-6 VDC 4dr;Sedan;Asia;31545;212;19;26;3630
Subaru; Impreza WRX 4dr;Sports;Asia;25045;227;20;27;3085
Subaru; Impreza WRX STi 4dr;Sports;Asia;31545;300;18;24;3263
Subaru; Baja;Truck;Asia;24520;165;21;28;3485
Subaru; Forester X;Wagon;Asia;21445;165;21;28;3090
Subaru; Outback;Wagon;Asia;23895;165;21;28;3430
Suzuki; XL-7 EX;SUV;Asia;23699;185;18;22;3682
Suzuki; Vitara LX;SUV;Asia;17163;165;19;22;3020
Suzuki; Aeno S 4dr;Sedan;Asia;12884;155;25;31;2676
Suzuki; Aerio LX 4dr;Sedan;Asia;14500;155;25;31;2676
Suzuki; Forenza S 4dr;Sedan;Asia;12269;119;24;31;2701
Suzuki; Forenza EX 4dr;Sedan;Asia;15568;119;22;30;2756
Suzuki; Verona LX 4dr;Sedan;Asia;17262;155;20;27;3380
Suzuki; Aerio SX;Wagon;Asia;16497;155;24;29;2932
Toyota; Prius 4dr (gas/electric);Hybrid;Asia;20510;110;59;51;2890
Toyota; Sequoia SR5;SUV;Asia;35695;240;14;17;5270
Toyota; 4Runner SR5 V6;SUV;Asia;27710;245;18;21;4035
Toyota; Highlander V6;SUV;Asia;27930;230;18;24;3935
Toyota; Land Cruiser;SUV;Asia;54765;325;13;17;5390
Toyota; RAV4;SUV;Asia;20290;161;22;27;3119
Toyota; Corolla CE 4dr;Sedan;Asia;14085;130;32;40;2502
Toyota; Corolla S 4dr;Sedan;Asia;15030;130;32;40;2524
Toyota; Corolla LE 4dr;Sedan;Asia;15295;130;32;40;2524
Toyota; Echo 2dr manual;Sedan;Asia;10760;108;35;43;2035
Toyota; Echo 2dr auto;Sedan;Asia;11560;108;33;39;2085
Toyota; Echo 4dr;Sedan;Asia;11290;108;35;43;2055
Toyota; Camry LE 4dr;Sedan;Asia;19560;157;24;33;3086
Toyota; Camry LE V6 4dr;Sedan;Asia;22775;210;21;29;3296
Toyota; Camry Solara SE 2dr;Sedan;Asia;19635;157;24;33;3175
Toyota; Camry Solara SE V6 2dr;Sedan;Asia;21965;225;20;29;3417
Toyota; Avalon XL 4dr;Sedan;Asia;26560;210;21;29;3417
Toyota; Camry XLE V6 4dr;Sedan;Asia;25920;210;21;29;3362
Toyota; Camry Solara SLE V6 2dr;Sedan;Asia;26510;225;20;29;3439
Toyota; Avalon XLS 4dr;Sedan;Asia;30920;210;21;29;3439
Toyota; Sienna CE;Sedan;Asia;23495;230;19;27;4120
Toyota; Sienna XLE Limited;Sedan;Asia;28800;230;19;27;4165
Toyota; Celica GT-S 2dr;Sports;Asia;22570;180;24;33;2500
Toyota; MR2 Spyder convertible 2dr;Sports;Asia;25130;138;26;32;2195
Toyota; Tacoma;Truck;Asia;12800;142;22;27;2750
Toyota; Tundra Regular Cab V6;Truck;Asia;16495;190;16;18;3925
Toyota; Tundra Access Cab V6 SR5;Truck;Asia;25935;190;14;17;4435
Toyota; Matrix XR;Wagon;Asia;16695;130;29;36;2679
Volkswagen; Touareg V6;SUV;Europe;35515;220;15;20;5086
Volkswagen; Golf GLS 4dr;Sedan;Europe;18715;115;24;31;2897
Volkswagen; GTI 1.8T 2dr hatch;Sedan;Europe;19825;180;24;31;2934
Volkswagen; Jetta GLS TDI 4dr;Sedan;Europe;21055;100;38;46;3003
Volkswagen; New Beetle GLS 1.8T 2dr;Sedan;Europe;21055;150;24;31;2820
Volkswagen; Jetta GLI VR6 4dr;Sedan;Europe;23785;200;21;30;3179
Volkswagen; New Beetle GLS convertible 2dr;Sedan;Europe;23215;115;24;30;3082
Volkswagen; Passat GLS 4dr;Sedan;Europe;23955;170;22;31;3241
Volkswagen; Passat GLX V6 4MOTION 4dr;Sedan;Europe;33180;190;19;26;3721
Volkswagen; Passat W8 4MOTION 4dr;Sedan;Europe;39235;270;18;25;3953
Volkswagen; Phaeton 4dr;Sedan;Europe;65000;335;16;22;5194
Volkswagen; Phaeton W12 4dr;Sedan;Europe;75000;420;12;19;5399
Volkswagen; Jetta GL;Wagon;Europe;19005;115;24;30;3034
Volkswagen; Passat GLS 1.8T;Wagon;Europe;24955;170;22;31;3338
Volkswagen; Passat W8;Wagon;Europe;40235;270;18;25;4067
Volvo; XC90 T6;SUV;Europe;41250;268;15;20;4638
Volvo; S40 4dr;Sedan;Europe;25135;170;22;29;2767
Volvo; S60 2.5 4dr;Sedan;Europe;31745;208;20;27;3903
Volvo; S60 T5 4dr;Sedan;Europe;34845;247;20;28;3766
Volvo; S60 R 4dr;Sedan;Europe;37560;300;18;25;3571
Volvo; S80 2.9 4dr;Sedan;Europe;37730;208;20;28;3576
Volvo; S80 2.5T 4dr;Sedan;Europe;37885;194;20;27;3691
Volvo; C70 LPT convertible 2dr;Sedan;Europe;40565;197;21;28;3450
Volvo; C70 HPT convertible 2dr;Sedan;Europe;42565;242;20;26;3450
Volvo; S80 T6 4dr;Sedan;Europe;45210;268;19;26;3653
Volvo; V40;Wagon;Europe;26135;170;22;29;2822
Volvo; XC70;Wagon;Europe;35145;208;20;27;3823
