objective;p01rcy;p02rcy;p03rcy;p04rcy;totalspend;p05spend;p05trans;p06rcy;p07rcy;p08rcy;p09rcy;p09tenure;p11rcy;p12rcy;p13rcy;p14rcy;p14tenure;p15rcy;p16spend;p16rcy;p16tenure;p16trans;p17rcy;totaltrans;acffempar;acfhuswife;acflonepar;acftotmar;acfwchcom;afem40to44;afp1child;afp2child;ahh2fam;ahh6ppers;amtenglish;amtfrench;amtmultlin;amtnengnon;amtsingres;amtspanish;amttagalog;anfamrel;bcwmpaid;bdw46to60;bdw86to91;bdwmaint;bdwmajor;bdwminor;bdwperroom;betbritish;betenglish;betfrench;betmulti;betsingle;bfi20to35;bfi50plus;bfiinca;bfiincm;bfiu20;bfps;bfpshealth;bfpshuman;bfsllabf;bfslonepar;bfslplabf;bfsmlabf;bhi20to35;bhi50plus;bhiinca;bhiincm;bhiincs;bhiu20;bhlenglish;bhlfrench;bhlnonoff;bimprovres;bimuk;bincgovp;bineflow;bineflowp;binf30plus;binf7to15;binfinca;binfincm;binfincs;binhhlow;binhhlowp;binm15to30;binm30plus;binm7to15;binmfemina;binminca;binmincm;binmincs;bknenglish;bknfren;blfmaempl;blfmaunemr;blfmtempl;blfmtunemp;blfmtunemr;blftaempl;blfttempl;blfttunemr;bmoy1intep;bmoy5intep;bmoy5intrn;bmoy5mov;bmoy5non;bmps;bmpscomm;bmpseng;bmpshealth;bmpssocial;bndtallind;bndtbusser;bndtgovser;bocffabric;bocfmanage;bocfteach;bocmmanage;bocmscieng;bpwmcsd;bpwmpop;bpwmusual;brlanglic;brlcathol;brlprotest;brlrcathol;brlunited;bsl9to13nc;bslg9;bslnunivc;bslunivdeg;bslunivnc;bslunivnd;gender1;first_month;lowincome;highincome;gender2;productcount;productcount6;tenure;tf100;tf101;tf102;tf103;tf107;tf108;tf122;tf124;tf128;tf129;tf27;tf28;tf29;tf31;tf32;tf33;tf34;tf35;tf36;tf37;tf38;tf39;tf42;tf46;tf47;tf49;tf50;tf51;tf52;tf55;tf56;tf57;tf58;tf62;tf65;tf68;tf70;tf71;tf72;tf73;tf74;tf75;tf76;tf77;tf80;tf88;tf89;tf90;tf91;tf92;tf93;tf94;tf95;tf96;tf99;gender3
negative;0,00;0,00;1,00;0,00;426,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;72,00;0,19;0,78;0,22;0,59;0,06;0,02;0,16;0,06;0,00;0,02;0,76;0,02;0,04;0,04;0,96;0,02;0,00;0,04;0,26;0,33;0,05;0,56;0,06;0,36;0,40;0,32;0,22;0,01;0,21;0,79;0,24;0,18;35648,00;35924,00;0,24;0,18;0,06;0,01;0,19;0,22;0,22;0,66;0,33;0,15;29697,00;25899,00;1893,00;0,32;0,77;0,01;0,16;0,40;0,04;16,60;0,19;21,00;0,04;0,16;15804,00;13809,00;1151,00;1,48;34,90;0,12;0,11;0,12;0,00;21204,00;21546,00;1393,00;0,95;0,00;0,17;15,40;0,23;0,04;13,50;0,40;0,51;10,30;0,04;0,12;0,16;0,74;0,21;0,13;0,00;0,00;0,01;0,02;0,58;0,04;0,03;0,00;0,04;0,00;0,03;0,02;0,23;0,24;0,23;0,13;0,22;0,37;0,22;0,08;0,22;0,07;0,11;0,11;0,07;0,15;0,00;42,00;0,00;0,00;0,00;5,00;2,00;182,00;0,02;0,00;0,73;0,04;0,10;3,32;0,10;0,27;0,00;0,00;0,98;0,45;0,22;0,08;0,04;0,02;0,00;0,00;0,00;21,00;23,00;18,00;0,33;0,29;0,14;0,04;0,16;0,08;0,08;0,10;0,37;0,16;0,20;0,16;0,00;730,00;0,08;0,04;0,04;0,27;0,10;0,16;0,04;0,02;0,00;0,73;0,60;0,13;0,24;0,12;0,12;348,00;199,00;149,00;0,14;1,00
negative;0,00;0,00;0,00;0,00;1081,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,05;0,89;0,05;0,84;0,05;0,03;0,05;0,00;0,00;0,03;0,76;0,00;0,06;0,06;0,94;0,00;0,00;0,03;0,16;0,18;0,21;0,67;0,00;0,30;0,30;0,09;0,03;0,00;0,28;0,60;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,11;0,11;0,72;0,21;0,06;23569,00;18476,00;1989,00;0,61;0,88;0,00;0,00;0,70;0,00;31,00;0,00;0,00;0,03;0,13;14089,00;11771,00;1586,00;0,00;0,00;0,04;0,09;0,17;0,00;15870,00;13897,00;1734,00;0,84;0,00;0,21;0,00;0,24;0,00;0,00;0,36;0,43;9,10;0,03;0,03;0,09;0,34;0,50;0,03;0,00;0,00;0,00;0,00;0,45;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,06;0,24;0,11;0,00;0,18;0,63;0,18;0,07;0,37;0,23;0,04;0,00;0,03;0,04;0,00;13,00;0,00;0,00;0,00;2,00;1,00;57,00;0,02;0,00;0,76;0,06;0,02;2,23;0,02;0,34;0,00;0,00;0,98;0,61;0,21;0,02;0,02;0,00;0,00;0,00;0,00;15,00;16,00;12,00;0,24;0,28;0,08;0,02;0,12;0,06;0,06;0,08;0,57;0,33;0,24;0,22;0,04;0,00;0,08;0,06;0,02;0,27;0,22;0,04;0,06;0,00;0,00;1,94;1,79;0,16;0,18;0,10;0,08;75,00;54,00;22,00;0,10;1,00
positive;0,00;0,00;0,00;0,00;3688,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,01;0,91;0,11;0,01;1,00;87,00;0,10;0,90;0,09;0,88;0,02;0,05;0,05;0,02;0,02;0,03;0,88;0,04;0,01;0,01;0,99;0,01;0,00;0,01;0,26;0,00;0,30;0,87;0,02;0,10;0,40;0,38;0,30;0,02;0,43;0,58;0,20;0,51;54721,00;50515,00;0,06;0,15;0,05;0,01;0,07;0,10;0,07;0,82;0,20;0,49;55020,00;49975,00;2577,00;0,05;0,92;0,00;0,06;0,68;0,03;7,50;0,05;4,80;0,08;0,05;18591,00;16910,00;1262,00;0,15;4,40;0,06;0,18;0,01;40938,00;33783,00;31031,00;2058,00;0,85;0,00;0,23;2,90;0,28;0,01;2,40;0,43;0,53;3,20;0,00;0,03;0,29;0,61;0,34;0,15;0,02;0,02;0,00;0,01;0,54;0,02;0,08;0,00;0,03;0,01;0,06;0,04;0,20;0,28;0,27;0,17;0,35;0,55;0,35;0,21;0,18;0,04;0,18;0,07;0,01;0,04;0,00;41,00;0,00;0,00;1,00;9,00;4,00;178,00;0,06;0,02;0,83;0,05;0,14;4,22;0,10;0,35;0,00;3,00;0,98;0,33;0,16;0,11;0,09;0,11;0,03;0,00;0,00;30,00;40,00;20,00;0,37;0,25;0,10;0,20;0,13;0,05;0,08;0,09;0,48;0,22;0,26;0,26;0,03;1004,00;0,09;0,06;0,03;0,26;0,12;0,14;0,04;0,03;0,00;1,39;1,30;0,09;0,34;0,20;0,14;991,00;697,00;294,00;0,19;0,00
negative;0,00;0,00;1,00;0,00;1476,00;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,98;0,00;0,00;0,00;0,00;0,90;0,00;0,00;0,00;0,00;0,00;95,00;0,10;0,88;0,12;0,87;0,02;0,04;0,03;0,03;0,01;0,01;0,77;0,05;0,03;0,02;0,97;0,00;0,00;0,03;0,29;0,10;0,00;0,57;0,13;0,31;0,40;0,15;0,12;0,02;0,38;0,62;0,17;0,62;65451,00;59343,00;0,03;0,17;0,03;0,00;0,10;0,13;0,06;0,65;0,19;0,61;63733,00;59192,00;3810,00;0,04;0,96;0,01;0,02;0,60;0,02;7,80;0,06;5,60;0,11;0,08;22037,00;17049,00;1729,00;0,30;9,80;0,09;0,23;0,04;40230,00;34624,00;32120,00;2450,00;0,87;0,00;0,24;4,20;0,30;0,02;5,00;0,46;0,55;4,40;0,00;0,02;0,04;0,28;0,68;0,23;0,04;0,00;0,03;0,00;0,57;0,03;0,04;0,00;0,04;0,03;0,05;0,02;0,24;0,30;0,27;0,03;0,29;0,47;0,29;0,21;0,15;0,05;0,17;0,14;0,06;0,10;0,00;48,00;0,00;0,00;0,00;9,00;7,00;209,00;0,07;0,04;0,82;0,04;0,13;3,77;0,12;0,39;0,00;0,00;0,99;0,33;0,17;0,12;0,09;0,09;0,01;0,00;0,00;28,00;34,00;22,00;0,34;0,26;0,11;0,14;0,12;0,07;0,05;0,07;0,61;0,29;0,32;0,24;0,04;620,00;0,14;0,08;0,07;0,70;0,38;0,30;0,08;0,04;0,00;0,70;0,51;0,20;0,41;0,22;0,18;1172,00;755,00;417,00;0,25;1,00
negative;0,99;0,00;0,98;0,00;7250,00;0,01;0,08;0,00;0,99;0,98;0,00;0,00;0,00;0,99;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,99;74,00;0,04;0,94;0,06;0,90;0,01;0,05;0,03;0,01;0,02;0,06;0,77;0,02;0,02;0,02;0,98;0,00;0,01;0,02;0,23;0,05;0,43;0,83;0,05;0,13;0,40;0,20;0,13;0,02;0,44;0,57;0,07;0,56;53240,00;53911,00;0,15;0,15;0,04;0,01;0,09;0,11;0,09;0,84;0,13;0,57;55715,00;55146,00;2747,00;0,10;0,86;0,00;0,10;0,53;0,04;10,80;0,12;12,30;0,07;0,10;17509,00;13969,00;1135,00;0,54;13,60;0,07;0,18;0,03;40598,00;30939,00;30449,00;1736,00;0,93;0,00;0,22;10,70;0,26;0,03;9,30;0,42;0,47;10,60;0,02;0,07;0,22;0,65;0,24;0,15;0,03;0,01;0,00;0,00;0,51;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,08;0,26;0,22;0,10;0,16;0,44;0,16;0,12;0,19;0,04;0,16;0,06;0,03;0,08;0,00;48,00;0,00;0,00;1,00;15,00;7,00;206,00;0,04;0,02;0,84;0,03;0,21;4,82;0,10;0,24;0,00;2,00;0,98;0,35;0,17;0,13;0,11;0,06;0,01;0,00;0,00;27,00;34,00;18,00;0,37;0,26;0,13;0,14;0,20;0,09;0,11;0,08;0,38;0,20;0,19;0,26;0,00;146,00;0,04;0,02;0,02;0,06;0,02;0,04;0,02;0,00;0,00;1,05;0,76;0,29;0,29;0,16;0,12;775,00;507,00;268,00;0,15;0,00
positive;0,00;0,00;1,00;0,00;1434,00;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57,00;0,06;0,92;0,06;0,82;0,02;0,05;0,06;0,00;0,01;0,01;0,85;0,01;0,02;0,01;0,98;0,01;0,00;0,02;0,26;0,16;0,08;0,69;0,08;0,23;0,30;0,37;0,25;0,00;0,43;0,53;0,28;0,48;59479,00;46956,00;0,07;0,26;0,02;0,01;0,04;0,09;0,00;0,62;0,29;0,39;49911,00;41265,00;4142,00;0,17;0,92;0,00;0,03;0,35;0,07;11,20;0,07;7,40;0,08;0,10;20536,00;17043,00;1648,00;0,33;9,30;0,13;0,18;0,04;46273,00;34667,00;29114,00;3542,00;0,90;0,00;0,21;7,70;0,25;0,03;10,20;0,38;0,45;11,40;0,03;0,10;0,23;0,43;0,49;0,18;0,05;0,00;0,00;0,02;0,51;0,03;0,03;0,00;0,03;0,02;0,05;0,00;0,02;0,25;0,20;0,15;0,10;0,52;0,10;0,16;0,21;0,03;0,20;0,12;0,02;0,09;1,00;42,00;0,00;0,00;0,00;4,00;3,00;182,00;0,08;0,05;0,69;0,05;0,15;3,62;0,08;0,34;0,02;82,00;0,98;0,36;0,18;0,08;0,07;0,08;0,05;0,02;0,00;31,00;39,00;24,00;0,31;0,21;0,08;0,16;0,10;0,03;0,07;0,05;0,57;0,25;0,33;0,23;0,05;610,00;0,13;0,07;0,07;0,77;0,31;0,46;0,05;0,05;0,00;1,67;1,31;0,36;0,31;0,16;0,15;797,00;485,00;312,00;0,15;0,00
positive;0,00;0,00;0,97;0,91;1945,00;0,00;0,00;0,00;0,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,99;30,00;0,14;0,76;0,24;0,48;0,00;0,02;0,14;0,05;0,00;0,00;0,90;0,01;0,01;0,01;1,00;0,00;0,00;0,06;0,41;0,00;0,04;0,75;0,06;0,17;0,40;0,18;0,13;0,02;0,60;0,39;0,20;0,25;40728,00;40176,00;0,10;0,18;0,04;0,00;0,20;0,20;0,20;0,80;0,38;0,25;39576,00;38131,00;2025,00;0,10;0,97;0,00;0,02;0,35;0,06;2,10;0,14;15,10;0,06;0,07;19376,00;19080,00;1660,00;0,45;11,60;0,20;0,21;0,03;29905,00;29495,00;28609,00;1789,00;0,87;0,00;0,32;0,00;0,40;0,02;5,30;0,56;0,79;5,30;0,11;0,11;0,28;0,86;0,13;0,21;0,03;0,00;0,00;0,03;0,83;0,07;0,02;0,00;0,03;0,00;0,02;0,06;0,37;0,40;0,39;0,19;0,25;0,47;0,25;0,11;0,15;0,02;0,29;0,02;0,04;0,13;1,00;30,00;0,00;0,00;0,00;9,00;5,00;127,00;0,00;0,00;0,90;0,00;0,13;4,31;0,16;0,19;0,00;0,00;1,00;0,39;0,29;0,06;0,00;0,00;0,00;0,00;0,00;20,00;22,00;17,00;0,48;0,39;0,26;0,03;0,19;0,10;0,10;0,10;0,19;0,10;0,13;0,16;0,00;0,00;0,03;0,00;0,03;0,10;0,00;0,06;0,03;0,00;0,00;0,37;0,25;0,00;0,26;0,13;0,13;167,00;105,00;62,00;0,16;0,00
negative;0,00;0,00;1,00;0,00;1895,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,00;0,00;0,97;85,00;0,15;0,85;0,18;0,79;0,00;0,08;0,12;0,03;0,02;0,00;0,88;0,02;0,01;0,00;0,99;0,00;0,00;0,02;0,32;0,00;0,00;0,88;0,00;0,10;0,30;0,25;0,17;0,04;0,47;0,52;0,07;0,73;75799,00;67096,00;0,00;0,24;0,05;0,02;0,13;0,16;0,13;0,68;0,08;0,70;71787,00;62108,00;4728,00;0,05;1,00;0,00;0,00;0,38;0,07;3,80;0,00;0,00;0,18;0,05;32359,00;27997,00;2676,00;0,19;5,30;0,05;0,32;0,02;57484,00;52548,00;44876,00;4609,00;0,86;0,00;0,29;5,30;0,32;0,02;5,00;0,58;0,62;2,60;0,05;0,05;0,15;0,56;0,39;0,32;0,07;0,04;0,02;0,05;0,64;0,11;0,05;0,00;0,06;0,03;0,09;0,07;0,26;0,31;0,26;0,13;0,13;0,65;0,13;0,27;0,12;0,00;0,08;0,42;0,02;0,08;0,00;48,00;0,00;0,00;0,00;5,00;2,00;208,00;0,11;0,08;0,83;0,05;0,18;4,59;0,14;0,48;0,03;63,00;1,00;0,23;0,15;0,12;0,12;0,12;0,05;0,03;0,02;40,00;51,00;30,00;0,38;0,18;0,08;0,27;0,08;0,03;0,05;0,05;0,61;0,29;0,32;0,27;0,06;430,00;0,27;0,12;0,15;0,94;0,36;0,58;0,15;0,09;0,00;2,19;1,44;0,76;0,45;0,23;0,21;1482,00;930,00;552,00;0,21;1,00
negative;0,00;0,00;0,00;0,00;1055,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,00;0,99;0,00;0,00;0,00;0,00;1,00;49,00;0,08;0,90;0,12;0,86;0,04;0,05;0,04;0,02;0,00;0,02;0,97;0,01;0,00;0,00;1,00;0,00;0,00;0,02;0,25;0,04;0,25;0,69;0,00;0,29;0,40;0,46;0,40;0,01;0,43;0,56;0,20;0,44;47330,00;47083,00;0,08;0,19;0,07;0,00;0,08;0,10;0,06;0,78;0,20;0,39;45442,00;45465,00;2490,00;0,13;1,00;0,00;0,00;0,78;0,06;10,90;0,04;4,70;0,04;0,10;14714,00;12483,00;1279,00;0,20;5,80;0,10;0,16;0,03;36055,00;29778,00;30998,00;1800,00;0,98;0,00;0,21;0,00;0,26;0,00;0,00;0,40;0,47;3,50;0,02;0,06;0,23;0,42;0,52;0,18;0,02;0,00;0,00;0,01;0,48;0,00;0,03;0,00;0,00;0,01;0,05;0,01;0,09;0,26;0,24;0,18;0,23;0,64;0,23;0,11;0,10;0,07;0,23;0,03;0,05;0,10;0,00;38,00;0,00;0,00;1,00;6,00;5,00;162,00;0,04;0,00;0,79;0,04;0,09;3,66;0,04;0,30;0,00;0,00;0,98;0,38;0,17;0,15;0,08;0,04;0,00;0,00;0,00;25,00;32,00;16,00;0,36;0,28;0,13;0,11;0,15;0,06;0,09;0,08;0,43;0,25;0,19;0,30;0,00;240,00;0,06;0,04;0,02;0,09;0,08;0,02;0,04;0,00;0,00;0,59;0,38;0,21;0,26;0,19;0,08;523,00;440,00;83,00;0,17;0,00
positive;0,95;0,00;1,00;0,00;7274,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,95;0,00;0,00;0,99;0,00;0,00;0,00;0,00;0,99;115,00;0,25;0,73;0,27;0,62;0,08;0,02;0,12;0,08;0,01;0,06;0,88;0,01;0,04;0,04;0,96;0,00;0,01;0,03;0,24;0,00;0,32;0,83;0,02;0,15;0,50;0,14;0,07;0,02;0,47;0,53;0,20;0,24;32216,00;33717,00;0,32;0,10;0,02;0,01;0,19;0,28;0,19;0,67;0,17;0,28;34252,00;35810,00;2584,00;0,32;0,97;0,00;0,01;0,80;0,01;12,90;0,29;28,60;0,02;0,07;15678,00;14268,00;1116,00;1,12;29,80;0,08;0,09;0,05;26143,00;21211,00;24079,00;2120,00;0,97;0,00;0,19;6,70;0,23;0,03;10,70;0,34;0,41;14,40;0,04;0,06;0,26;0,64;0,18;0,04;0,01;0,00;0,00;0,01;0,47;0,02;0,02;0,01;0,01;0,00;0,02;0,01;0,17;0,23;0,21;0,05;0,33;0,40;0,28;0,16;0,30;0,02;0,08;0,02;0,07;0,09;1,00;49,00;0,00;0,00;0,00;8,00;7,00;212,00;0,02;0,00;0,84;0,05;0,13;3,99;0,07;0,21;0,00;0,00;0,98;0,40;0,23;0,09;0,05;0,02;0,00;0,00;0,00;20,00;25,00;15,00;0,39;0,32;0,19;0,06;0,26;0,13;0,13;0,15;0,28;0,14;0,14;0,20;0,00;0,00;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,00;0,00;0,72;0,50;0,23;0,25;0,15;0,10;417,00;283,00;135,00;0,16;0,00
positive;0,94;0,00;0,00;0,00;2794,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;0,98;0,18;1,00;0,00;0,00;0,00;0,00;1,00;39,00;0,05;0,93;0,08;0,83;0,03;0,04;0,03;0,00;0,00;0,02;0,96;0,01;0,00;0,00;1,00;0,00;0,00;0,03;0,27;0,27;0,31;0,69;0,04;0,27;0,40;0,49;0,43;0,07;0,35;0,64;0,13;0,45;50681,00;49483,00;0,16;0,23;0,03;0,02;0,11;0,11;0,11;0,74;0,13;0,40;48466,00;45449,00;3492,00;0,15;0,99;0,00;0,00;0,76;0,04;15,20;0,10;12,10;0,07;0,11;20324,00;16174,00;1850,00;0,46;13,10;0,14;0,14;0,02;32135,00;27136,00;23998,00;2368,00;0,91;0,00;0,22;0,00;0,24;0,04;13,20;0,41;0,45;14,90;0,01;0,04;0,17;0,43;0,46;0,20;0,01;0,01;0,00;0,01;0,53;0,00;0,10;0,00;0,02;0,00;0,03;0,01;0,00;0,24;0,24;0,12;0,43;0,39;0,43;0,12;0,20;0,01;0,17;0,14;0,06;0,13;0,00;32,00;0,00;0,00;1,00;6,00;5,00;140,00;0,04;0,02;0,81;0,04;0,12;3,98;0,08;0,39;0,00;0,00;0,97;0,32;0,19;0,11;0,09;0,07;0,00;0,00;0,00;26,00;32,00;18,00;0,34;0,26;0,13;0,12;0,16;0,07;0,09;0,10;0,42;0,21;0,21;0,28;0,00;220,00;0,09;0,04;0,04;0,11;0,04;0,08;0,07;0,02;0,00;0,99;0,93;0,15;0,29;0,19;0,10;884,00;544,00;341,00;0,18;0,00
negative;0,00;0,00;1,00;0,00;136,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,00;0,10;0,88;0,12;0,79;0,03;0,04;0,06;0,03;0,01;0,03;0,77;0,08;0,03;0,02;0,97;0,00;0,00;0,03;0,27;0,15;0,18;0,71;0,06;0,22;0,42;0,23;0,16;0,08;0,38;0,61;0,15;0,46;51909,00;47206,00;0,11;0,15;0,03;0,01;0,09;0,12;0,08;0,75;0,17;0,44;50940,00;45517,00;3663,00;0,17;0,85;0,07;0,06;0,61;0,04;9,82;0,10;9,70;0,07;0,09;17808,00;14910,00;1622,00;0,43;11,70;0,09;0,17;0,05;33646,00;32514,00;29134,00;2886,00;0,83;0,03;0,23;7,07;0,28;0,02;8,18;0,42;0,50;8,61;0,02;0,06;0,20;0,49;0,43;0,17;0,03;0,01;0,01;0,01;0,54;0,03;0,04;0,00;0,03;0,02;0,05;0,02;0,15;0,28;0,25;0,10;0,32;0,44;0,32;0,15;0,19;0,07;0,14;0,11;0,05;0,09;0,00;8,00;1,00;0,00;1,00;2,00;2,00;35,00;0,05;0,02;0,79;0,05;0,14;3,96;0,09;0,32;0,00;16,00;0,98;0,36;0,18;0,11;0,07;0,06;0,02;0,01;0,00;28,00;35,00;19,00;0,33;0,26;0,12;0,13;0,16;0,08;0,08;0,08;0,46;0,22;0,23;0,22;0,03;778,00;0,10;0,05;0,04;0,46;0,22;0,23;0,05;0,02;0,00;1,32;1,02;0,31;0,29;0,17;0,12;893,00;604,00;288,00;0,16;0,00
negative;0,00;0,00;1,00;0,00;393,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;0,00;0,99;0,00;0,00;0,00;0,00;0,99;47,00;0,06;0,93;0,07;0,92;0,01;0,06;0,03;0,03;0,01;0,04;0,79;0,01;0,03;0,03;0,97;0,00;0,00;0,01;0,29;0,03;0,04;0,87;0,00;0,12;0,50;0,10;0,06;0,02;0,44;0,56;0,08;0,68;55364,00;56672,00;0,07;0,15;0,02;0,02;0,12;0,12;0,07;0,84;0,09;0,72;56635,00;56700,00;2042,00;0,04;0,95;0,00;0,04;0,76;0,01;4,90;0,08;9,20;0,04;0,08;15894,00;14774,00;1121,00;0,31;8,30;0,06;0,19;0,04;40613,00;34008,00;35009,00;1841,00;0,89;0,00;0,26;0,00;0,29;0,03;9,60;0,48;0,54;6,50;0,01;0,01;0,03;0,20;0,73;0,18;0,02;0,00;0,01;0,02;0,58;0,03;0,03;0,01;0,01;0,05;0,05;0,01;0,25;0,29;0,26;0,05;0,26;0,58;0,18;0,17;0,18;0,05;0,14;0,11;0,02;0,06;0,00;44,00;0,00;0,00;0,00;3,00;3,00;191,00;0,05;0,02;0,86;0,04;0,12;4,02;0,11;0,42;0,00;0,00;0,99;0,33;0,17;0,15;0,10;0,07;0,02;0,00;0,00;28,00;37,00;18,00;0,37;0,25;0,13;0,16;0,15;0,07;0,09;0,05;0,54;0,27;0,27;0,33;0,02;1850,00;0,08;0,05;0,02;0,27;0,20;0,08;0,04;0,01;0,00;0,87;0,73;0,15;0,38;0,24;0,14;1359,00;1090,00;269,00;0,24;1,00
negative;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,09;0,89;0,09;0,85;0,02;0,03;0,06;0,02;0,01;0,03;0,92;0,01;0,02;0,02;0,98;0,00;0,01;0,04;0,30;0,31;0,00;0,59;0,11;0,30;0,40;0,41;0,26;0,02;0,39;0,61;0,31;0,33;44333,00;42217,00;0,06;0,07;0,03;0,00;0,04;0,06;0,04;0,83;0,28;0,27;38515,00;34701,00;2304,00;0,22;1,00;0,00;0,00;0,75;0,11;14,60;0,04;4,90;0,00;0,12;14396,00;14245,00;858,00;0,34;9,50;0,14;0,14;0,07;30938,00;26125,00;26477,00;1326,00;0,99;0,00;0,22;14,30;0,27;0,04;13,10;0,40;0,49;12,70;0,00;0,00;0,10;0,35;0,56;0,12;0,02;0,00;0,00;0,00;0,55;0,04;0,02;0,01;0,01;0,03;0,04;0,02;0,21;0,28;0,28;0,12;0,24;0,59;0,24;0,11;0,31;0,09;0,13;0,04;0,02;0,02;0,00;17,00;0,00;1,00;0,00;1,00;1,00;74,00;0,02;0,00;0,80;0,06;0,18;4,27;0,04;0,30;0,00;1,00;0,97;0,38;0,22;0,11;0,04;0,03;0,00;0,00;0,00;22,00;28,00;16,00;0,31;0,27;0,14;0,06;0,17;0,10;0,08;0,06;0,37;0,19;0,17;0,19;0,00;65,00;0,05;0,03;0,03;0,25;0,12;0,13;0,03;0,00;0,00;0,37;0,24;0,14;0,22;0,14;0,09;367,00;256,00;111,00;0,11;1,00
negative;0,00;0,00;1,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,05;0,93;0,07;0,88;0,02;0,03;0,03;0,02;0,00;0,01;0,67;0,01;0,06;0,05;0,94;0,00;0,00;0,02;0,22;0,71;0,00;0,66;0,07;0,27;0,40;0,16;0,15;0,03;0,44;0,56;0,24;0,38;46420,00;45353,00;0,09;0,11;0,02;0,01;0,09;0,10;0,07;0,55;0,26;0,34;43135,00;39948,00;2555,00;0,19;0,98;0,00;0,01;0,79;0,01;20,00;0,12;11,00;0,03;0,10;12353,00;8179,00;1048,00;0,37;12,40;0,10;0,22;0,07;37356,00;31722,00;31121,00;2029,00;0,91;0,00;0,20;0,00;0,22;0,01;4,90;0,38;0,45;3,60;0,00;0,00;0,01;0,16;0,81;0,15;0,03;0,01;0,00;0,00;0,47;0,03;0,06;0,01;0,00;0,02;0,03;0,00;0,21;0,22;0,21;0,15;0,40;0,48;0,31;0,17;0,26;0,15;0,12;0,08;0,03;0,06;0,00;33,00;0,00;0,00;0,00;1,00;1,00;143,00;0,03;0,01;0,57;0,05;0,07;2,48;0,07;0,44;0,00;0,00;0,99;0,37;0,23;0,10;0,07;0,02;0,00;0,00;0,00;23,00;29,00;17,00;0,25;0,18;0,09;0,07;0,12;0,05;0,07;0,04;0,64;0,27;0,36;0,23;0,05;840,00;0,09;0,03;0,04;0,52;0,21;0,31;0,04;0,02;0,00;0,40;0,28;0,13;0,25;0,13;0,12;750,00;520,00;230,00;0,14;1,00
